Company Name,Total Worldwide Box Office
Scott Rudin Productions,"$3,834,292,236"
Sony Pictures Animation,"$5,750,711,823"
Screen Gems,"$4,317,853,648"
Eon Productions,"$7,114,118,085"
Hasbro Studios,"$5,598,873,467"
Scott Free Films,"$5,400,013,634"
New Regency,"$4,658,167,283"
Castle Rock Entertainment,"$3,225,027,839"
Color Force,"$3,820,983,986"
PDI,"$4,839,920,623"
Atlas Entertainment,"$5,228,947,287"
Chernin Entertainment,"$4,623,741,389"
Lightstorm Entertainment,"$6,088,462,440"
Donners’ Company,"$4,629,258,264"
Revolution Studios,"$3,223,848,476"
Jerry Bruckheimer Films,"$4,049,776,125"
Parkes+Macdonald Productions,"$4,270,584,830"
Overbrook Entertainment,"$3,931,779,272"
Davis Entertainment,"$4,050,206,361"
Marc Platt Productions,"$3,583,141,454"
Walden Media,"$4,144,764,590"
Zancuk Company,"$4,064,075,497"
Focus Features,"$3,671,823,874"
Fairview Entertainment,"$4,042,162,974"
Sunswept Entertainment,"$3,968,872,154"
Ingenious Media,"$4,552,921,536"
Chris Meledandri,"$3,729,189,927"
Plan B Entertainment,"$3,635,066,351"
Vertigo Entertainment,"$3,159,517,262"
Participant Media,"$3,253,260,944"
Brian Grazer Productions,"$3,581,302,763"
Mandeville Films,"$3,237,195,883"
Roth Films,"$4,625,283,970"
The Safran Company,"$4,553,607,616"
Blue Sky Studios,"$5,080,704,457"
Ingenious Film Partners,"$5,182,192,098"
LStar Capital,"$3,701,770,919"
One Race Films,"$6,171,340,102"
Cruel and Unusual Films,"$3,898,420,208"
Fox Searchlight Pictures,"$3,258,052,165"
Platinum Dunes,"$2,580,176,502"
Kinberg Genre,"$3,891,749,905"
Weinstein Company,"$3,136,548,555"
Malpaso Productions,"$2,235,122,081"
Miramax Films,"$2,724,049,318"
Canal Plus,"$4,834,434,986"
United Artists,"$3,236,619,934"
Laura Ziskin Productions,"$2,719,192,495"
Centropolis Entertainment,"$3,670,073,209"
GK Films,"$3,452,449,741"
Seven Bucks Productions,"$3,466,746,839"
21 Laps Entertainment,"$2,728,829,761"
Alcon Entertainment,"$2,225,112,635"
20th Century Studios,"$3,574,257,775"
Nickelodeon Films,"$2,357,334,054"
Thunder Road Film,"$2,794,526,622"
Blinding Edge Pictures,"$2,442,397,232"
Dentsu Inc.,"$4,331,506,879"
MTV Films,"$1,568,804,516"
Gary Sanchez Productions,"$1,676,832,359"
Escape Artists,"$2,151,969,013"
Cruise-Wagner,"$3,031,872,684"
Judd Apatow,"$1,466,532,831"
Lakeshore Entertainment,"$2,203,748,537"
Atomic Monster,"$2,995,082,880"
ImageMovers,"$2,039,507,067"
Bron Creative,"$2,119,335,403"
Millennium Films,"$2,640,050,796"
Bad Hat Harry Productions,"$2,735,381,962"
Mosaic Media,"$1,751,901,188"
Hollywood Pictures,"$1,948,393,146"
Matt Tolmach Productions,"$2,823,318,451"
Tencent Pictures,"$3,024,502,710"
Sony Pictures,"$1,990,065,286"
Playtone,"$2,212,231,313"
Entertainment One,"$2,175,729,689"
Dimension Films,"$1,796,081,512"
Tribeca Film,"$2,408,899,626"
Bluegrass Films,"$2,134,955,384"
Gold Circle Films,"$1,573,529,051"
20th Century Fox Animation,"$2,699,416,199"
MRC,"$2,664,447,092"
StudioCanal,"$4,049,976,423"
Reliance Entertainment,"$2,113,268,301"
Lord Miller,"$1,646,545,081"
Weed Road Pictures,"$2,304,736,039"
Arad Productions,"$2,301,521,215"
Morgan Creek Productions,"$1,390,131,954"
Lin Pictures,"$1,705,509,558"
EuropaCorp,"$2,477,028,682"
Tom Cruise Productions,"$2,586,041,174"
Annapurna Pictures,"$1,372,271,871"
Everyman Pictures,"$1,453,096,602"
Imprint Entertainment,"$1,827,555,229"
Point Grey,"$1,245,930,892"
Stage 6 Films,"$1,562,875,187"
De Line Pictures,"$1,715,290,542"
Green Hat Films,"$1,729,019,191"
Appian Way,"$2,062,139,586"
Don Simpson,"$1,490,132,660"
Jersey Films,"$1,265,569,291"
Warner Animation Group,"$1,584,142,966"
Michael De Luca Productions,"$2,227,271,123"
LuckyChap Entertainment,"$1,746,261,356"
Mandate Pictures,"$1,203,331,029"
Icon Productions,"$1,306,873,029"
Mace Neufeld,"$1,420,638,155"
Benderspink Productions,"$1,347,761,262"
Rideback,"$1,819,324,670"
NPV Entertainment,"$1,686,965,504"
FilmNation Entertainment,"$1,576,511,453"
BBC Films,"$2,029,037,078"
Big Screen Prods,"$2,282,559,153"
Gil Netter Productions,"$1,481,779,813"
Will Packer Productions,"$870,259,542"
Red Hour Productions,"$1,192,291,970"
Lawrence Gordon,"$1,335,500,841"
Jerry Weintraub,"$1,354,271,354"
Alphaville,"$1,689,382,005"
2.0 Entertainment,"$1,583,064,879"
Montecito Picture Company,"$1,155,737,878"
Tim Burton,"$1,542,164,263"
Bagdasarian Company,"$1,404,694,725"
Joint Effort,"$1,788,160,966"
Tom DeSanto,"$1,940,573,771"
Don Murphy,"$1,940,573,771"
Eddie Murphy Production,"$1,072,340,697"
Saturn Films,"$1,411,142,398"
Mattel Entertainment,"$1,449,562,734"
Playground Productions,"$1,444,999,654"
Fuji Television Network,"$1,947,419,106"
Monkeypaw Pictures,"$908,416,087"
Mad Chance,"$1,197,442,426"
Domain Entertainment,"$1,354,488,574"
DMG Entertainment,"$1,754,018,221"
Lucamar,"$1,184,633,325"
Media Rights Capital,"$1,491,053,064"
Broken Road,"$1,276,830,430"
Constantin Film,"$2,214,298,351"
A Band Apart,"$1,488,979,679"
Troublemaker Studios,"$1,370,393,955"
A24,"$951,325,887"
Tyler Perry Studios,"$625,731,022"
Gracie Films,"$1,166,854,007"
David Brown,"$1,023,782,230"
Red Wagon Entertainment,"$1,235,097,788"
MARV Films,"$1,665,906,297"
Cube Vision,"$687,520,633"
3 Arts Entertainment,"$1,073,716,043"
Flynn Picture Company,"$1,754,024,345"
Reliance BIG Entertainment,"$1,168,625,410"
Mutual Film Company,"$1,219,482,211"
Nintendo,"$1,361,575,623"
Robert Simonds Company,"$858,130,010"
Phoenix Pictures,"$1,532,062,946"
Team Todd,"$991,322,309"
Closest to the Hole,"$862,685,243"
The Mark Gordon Company,"$1,582,937,893"
87Eleven Inc.,"$1,166,177,083"
Nu Image,"$1,555,578,303"
Good Universe,"$866,804,421"
Di Novi Pictures,"$829,477,143"
UK Film Council,"$1,716,515,854"
Cross Creek Pictures,"$1,444,625,217"
Maverick Films,"$1,137,607,880"
STX Films,"$824,808,559"
Beacon Pictures,"$940,925,373"
Laurence Mark,"$961,441,209"
Rogue Pictures,"$996,542,531"
Mark Johnson,"$1,228,404,586"
Douglas Wick,"$1,174,640,348"
Olive Bridge Entertainment,"$1,148,224,056"
Valhalla Motion Pictures,"$1,093,657,955"
Cine Plus,"$1,862,814,986"
Image Nation Abu Dhabi,"$928,423,291"
CBS Films,"$844,131,051"
Roth Kirschenbaum Films,"$1,907,361,048"
Newmarket Films,"$802,975,776"
Perfect Storm Entertainment,"$1,782,079,696"
Image Nation,"$1,381,359,492"
Tig Productions,"$1,027,750,565"
Animal Logic,"$1,162,786,524"
Wendy Fineman Productions,"$1,022,789,091"
Smart Entertainment,"$909,231,281"
Orion Pictures,"$663,435,979"
Dreamworks LLC,"$981,045,531"
Hartbeat Productions,"$1,079,260,840"
Wigram Productions,"$1,251,494,357"
Open Road Films,"$790,029,041"
American Zoetrope,"$945,334,701"
Anonymous Content,"$1,124,881,559"
Hemisphere Media Capital,"$1,534,622,658"
Brownstone,"$765,171,058"
Sunday Night,"$794,029,243"
M6 Films,"$1,243,974,290"
Leverage,"$667,127,734"
Maximum Effect,"$971,035,039"
Jon Peters,"$841,655,348"
STX Entertainment,"$726,708,071"
Birnbaum/Barber,"$916,754,397"
Kevin Feige,"$1,108,237,819"
Trigger Street Productions,"$1,113,992,763"
Guber-Peters,"$576,605,233"
Tapestry Films,"$571,280,495"
Grive Productions,"$923,703,318"
Dickhouse,"$571,939,128"
Wanda Pictures,"$817,691,766"
Rough House Pictures,"$669,734,617"
Waverly Films,"$930,673,017"
Detective Agency,"$960,439,474"
Solana Films,"$890,417,130"
Rainforest Films,"$462,105,405"
Dark Castle Entertainment,"$800,678,419"
Bazmark,"$960,178,284"
HBO Films,"$915,802,391"
Junction Entertainment,"$788,649,214"
Affirm Films,"$436,653,538"
Kerner Entertainment Company,"$1,367,211,327"
Twisted Pictures,"$890,396,590"
Ghost House Pictures,"$704,100,329"
Contrafilm,"$897,102,615"
Sidney Kimmel Entertainment,"$648,300,130"
Pariah Productions,"$794,996,975"
Radar Pictures,"$1,047,010,999"
7 Bucks Productions,"$971,220,695"
Radiant Productions,"$899,284,250"
6th and Idaho,"$765,950,479"
Dylan Clark Productions,"$765,950,479"
TF1 Film Productions,"$1,827,422,037"
Reuben Cannon Productions,"$367,930,621"
Tall Trees,"$711,359,045"
Carolco Pictures,"$817,400,570"
China Film Company,"$2,795,317,310"
Seed Productions,"$816,471,793"
KatzSmith Productions,"$744,512,326"
K/O Paper Products,"$987,733,286"
Amazon Studios,"$718,995,090"
Mirage,"$558,599,339"
Apatow Productions,"$475,982,889"
Blue Wolf,"$643,459,003"
Initial Entertainment Group,"$760,022,235"
Toho Co,"$1,511,348,537"
Smokehouse Pictures,"$670,975,322"
Michael Bay,"$591,518,325"
John Calley,"$1,258,696,305"
22nd & Indiana,"$547,326,372"
Huayi Brothers Pictures Ltd,"$1,240,815,556"
Film4,"$1,150,157,217"
IM Global,"$731,613,251"
State Street Pictures,"$450,702,775"
Laika,"$604,869,085"
New Republic Pictures,"$779,854,195"
Lego Systems A/S,"$622,950,516"
Wonderland Sound and Vision,"$768,171,276"
Black Label Media,"$792,507,444"
Marza Animation Planet,"$707,690,550"
Blur Studio,"$707,690,550"
Sega Sammy Group,"$707,690,550"
Scholastic Entertainment Inc.,"$948,321,915"
Mad Ghost Productions,"$1,131,849,702"
Aardman Animations,"$1,083,686,364"
Chartoff Winkler Productions,"$649,454,375"
Cannell Studios,"$534,146,305"
Steve Tisch Productions,"$679,835,137"
Burg-Knoules,"$652,040,377"
Beaglepug,"$895,390,421"
Sikelia Productions,"$879,466,145"
Bonnie Arnold,"$791,589,066"
Jack Giarraputo,"$418,832,929"
Arthur Sarkissian,"$659,690,967"
LD Entertainment,"$440,905,185"
Wild West Picture Show,"$542,486,905"
Double Dream,"$734,111,918"
Alcor Films,"$481,130,112"
Callahan Filmworks,"$488,115,912"
Duncan Henderson Productions,"$963,086,761"
Outlaw Productions,"$403,858,738"
Brad Grey,"$532,275,689"
Hyde Park Entertainment,"$498,183,773"
Misher Films,"$664,309,757"
Roger Birnbaum,"$532,012,588"
Emmett/Furla Films,"$562,360,875"
PolyGram Filmed Entertainment,"$862,279,991"
Bernd Eichinger,"$644,067,846"
2Dux2,"$738,690,940"
TPS Company,"$312,558,646"
Brandywine,"$991,834,854"
Mayhem Pictures,"$419,066,865"
B23,"$1,110,526,981"
Fuzzy Door,"$773,230,770"
Hutch Parker,"$948,924,498"
Paramount Players,"$503,237,153"
Double Feature Films,"$519,326,182"
Pathe,"$908,369,071"
Flower Films,"$623,441,045"
Zhiv,"$574,347,365"
IMAX Corporation,"$441,307,987"
Geffen Pictures,"$484,523,305"
Lynda Obst Productions,"$849,860,082"
Tommy Harper,"$450,053,961"
Marc Toberoff,"$450,053,961"
Shangri-La Entertainment,"$539,526,939"
Protozoa Pictures,"$868,614,680"
Dino De Laurentiis,"$548,994,264"
Out of the Blue Entertainment,"$399,910,818"
Impact Pictures,"$1,417,754,412"
Le Grisbi,"$539,785,129"
Samuel Goldwyn Films,"$609,782,307"
Neal H. Moritz,"$473,658,372"
Forward Pass,"$568,715,061"
Section Eight,"$637,097,186"
DNA Films,"$624,779,122"
Mark Canton,"$748,266,008"
Sahdy Acres,"$522,783,411"
China Film Co. LTD,"$2,144,744,227"
Steven Spielberg,"$576,942,849"
Pacific Western,"$627,337,163"
Spyglass Media Group,"$409,517,733"
Esperanto Filmoj,"$715,104,360"
Intermedia Film,"$593,693,238"
87North,"$553,413,783"
Offspring Entertainment,"$726,158,033"
Red Granite Pictures,"$447,104,299"
Vertigo Films,"$677,285,647"
Genre Films,"$814,300,824"
Tollin/Robbins,"$364,321,589"
TIK Films,"$1,139,662,141"
Firm Films,"$474,528,845"
Big Talk Pictures,"$609,649,711"
Practical Pictures,"$753,817,355"
Exclusive Media Group,"$596,129,880"
Access Entertainment,"$772,040,292"
Mirage Enterprises,"$505,611,506"
Littlestar,"$977,920,743"
Infinitum Nihil,"$751,129,772"
Allison Shearmur,"$671,645,767"
SK Global,"$458,461,223"
Gunnfilms,"$464,897,129"
See-Saw Films,"$799,886,490"
Zanuck/Brown,"$471,355,047"
Stuber Pictures,"$498,250,992"
Rat Entertainment,"$526,320,405"
Why Not Productions,"$559,983,635"
Anton Capital Entertainment,"$1,067,512,452"
Good Machine,"$459,007,970"
Chris Morgan Productions,"$925,815,488"
Nick Wechsler,"$484,817,630"
Runteldat Entertainment,"$426,362,070"
FilmDistrict,"$498,133,428"
Jim Henson Productions,"$320,837,635"
Bay Films,"$732,519,443"
Malek Akkad,"$399,329,735"
Four by Two Films,"$609,021,136"
Film 4,"$879,272,379"
A Keith Barish,"$424,837,317"
Moritz Borman,"$679,259,169"
John Davis,"$429,314,499"
Cold Springs Pictures,"$566,025,287"
United Plankton Pictures,"$457,875,226"
Room 101,"$578,612,519"
Davis Films,"$1,244,914,429"
Ronald Shusett,"$620,224,398"
Endgame Entertainment,"$532,194,986"
Tree Line Film,"$517,630,690"
The Jackal Group,"$480,527,180"
Simon Kinberg,"$766,765,573"
Darren Star,"$709,928,036"
Robert Rehme,"$504,780,938"
Katja Motion Picture Corporation,"$598,020,129"
Bona Film Group,"$1,250,980,034"
Provident Films,"$257,285,120"
Feigco Entertainment,"$515,060,468"
Lorimar Film Entertainment,"$266,137,462"
Wayfarer Studios,"$607,797,126"
40 Acres and a Mule Filmworks,"$294,410,724"
Pitt Bull,"$484,468,608"
Craven,"$405,842,521"
Maddalena,"$405,842,521"
Gotham Group,"$952,137,590"
Sony Pictures Classics,"$586,722,691"
Beijing Universe Starlight Culture Media Company,"$859,944,990"
Josephson Entertainment,"$610,901,710"
QC Entertainment,"$376,482,082"
Indian Paintbrush,"$473,587,453"
Neon Films,"$605,456,699"
Rocket Pictures,"$482,192,276"
Pearl Street,"$558,151,180"
QED International,"$638,568,953"
Lawrence Bender,"$427,650,666"
Curtis-Donen Productions,"$490,359,051"
Proximity Media,"$424,818,413"
Marvel Entertainment,"$555,475,082"
Huayi Brothers Corp.,"$1,535,104,428"
Kennedy Miller Mitchell Productions,"$561,956,664"
Goldcrest Films,"$519,209,579"
Apelles Entertainment,"$921,566,988"
Blue Light,"$626,695,807"
Leonard Goldberg,"$486,899,363"
M. Productions,"$635,482,685"
Moving Pictures,"$332,877,106"
Vendian Entertainment,"$467,812,448"
River Road Entertainment,"$725,812,445"
Charles B. Wessler Entertainment,"$561,765,607"
Wild Bunch,"$788,656,541"
Interscope Films,"$450,408,931"
Guillermo del Toro,"$656,750,015"
Sommers Company,"$707,231,868"
On The Day Productions,"$272,596,214"
Alliance Films,"$429,000,838"
Strike Entertainment,"$623,137,435"
Imperative Entertainment,"$452,419,803"
"Chartoff Productions, Inc.","$402,595,434"
Queen Films,"$879,088,897"
Live Nation Productions,"$432,489,689"
Wrigley Pictures,"$638,234,625"
Bill Gerber,"$431,674,156"
Riche-Ludwig,"$519,102,250"
Double Dare You,"$664,732,825"
Studio Babelsberg,"$632,890,185"
Gratitude International,"$296,521,044"
Project X Entertainment,"$361,402,937"
Conundrum Entertainment,"$425,548,106"
Zadan/Meron,"$377,630,306"
Aggregate Films,"$301,187,409"
The Bedford Falls Company,"$736,310,575"
Lorne Michaels,"$255,841,495"
Karz Entertainment,"$425,654,602"
Sean Daniel Company,"$608,419,332"
Hoffman,"$485,574,279"
Pandemonium,"$385,119,190"
Big Kid Pictures,"$452,064,726"
Image Entertainment,"$555,441,803"
Mr. Mudd,"$327,133,759"
Paramount Animation,"$563,223,948"
Depth of Field,"$564,460,925"
Eric's Boy,"$312,383,487"
Mythology Entertainment,"$460,464,401"
Lloyd Levin,"$401,320,793"
Whitaker Entertainment,"$320,236,285"
Black Bear,"$421,673,076"
Nuyorican,"$319,531,966"
Rastar Production,"$210,746,314"
Ivan Reitman Production,"$317,931,639"
T-Street,"$350,924,989"
Herrick Entertainment,"$283,273,957"
Boxing Cat,"$260,056,496"
Kennedy Miller,"$387,415,711"
David Entertainment Company,"$447,449,374"
Horseshoe Bay,"$353,149,242"
Wayne Rice,"$417,173,367"
Eidos Interactive,"$430,423,128"
Hey Eddie,"$351,498,690"
Spring Creek Prod,"$390,749,098"
Peters Entertainment,"$331,245,147"
Westbrook Studios,"$400,723,743"
Dark Horse Entertainment,"$455,393,224"
Guy Walks Into a Bar,"$278,558,241"
Outlier Productions,"$324,843,388"
1212 Entertainment,"$276,832,795"
Wind Dancer Films,"$384,276,691"
Gama Entertainment,"$485,028,891"
Mednick Productions,"$485,004,754"
Heavy Metal,"$485,004,754"
Konrad Pictures,"$334,201,377"
Avi Arad,"$374,561,597"
Ambi Media Group,"$263,597,111"
Touchwood Pacific Partners,"$189,697,157"
Entertainment 360,"$373,308,701"
Golden Mean,"$312,183,437"
Polygram Pictures,"$332,651,065"
Pure Flix,"$200,219,458"
Blueprint Films,"$551,362,514"
Fortis Films,"$300,804,723"
Neal Street,"$472,863,446"
Voltage Pictures,"$475,183,347"
Wanda Media,"$3,516,631,556"
Santa Fe Films,"$250,729,678"
Overture Films,"$311,771,376"
Arnold Kopelson,"$353,715,317"
LBI Entertainment,"$338,969,944"
Amblin Partners,"$416,731,894"
Matt Groening,"$527,071,022"
OddLot Entertainment,"$355,934,043"
Wayans Brothers Entertainment,"$309,424,624"
Smoke House Pictures,"$320,398,301"
Baltimore Spring Creek Pictures,"$328,786,512"
Little Stranger,"$235,785,655"
Levantine Films,"$249,098,379"
Ashok Amritraj,"$229,433,199"
Momentum Pictures,"$565,536,313"
T.D. Jakes,"$200,648,758"
TPS Star,"$367,968,288"
Gold-Miller,"$299,430,840"
IMF,"$389,294,809"
Berlanti Productions,"$512,803,165"
Automatik,"$302,046,248"
China Film Group,"$774,622,751"
Fountainbridge Films,"$328,566,845"
Mandalay Vision,"$306,070,923"
Ludlum Entertainment,"$311,001,124"
Hemdale,"$216,071,102"
Ivanhoe Pictures,"$289,382,785"
Gilbert Films,"$549,524,426"
Oddball,"$401,067,698"
Gulfstream Pictures,"$364,200,098"
Electric Somewhere,"$237,814,149"
Groucho II Film Partnership,"$465,974,198"
Katalyst Films,"$293,327,229"
American Empirical,"$420,858,597"
EMI,"$345,463,330"
Harbinger Pictures,"$224,378,545"
G-Base,"$346,442,947"
Bona Fide,"$301,359,360"
Lucy Fisher,"$424,141,525"
Jason T. Reed Productions,"$397,369,969"
Producer Circle Company,"$306,770,545"
Likely Story,"$353,339,856"
Martin Bregman,"$307,575,685"
Kingdom Story Company,"$182,835,121"
TTK Productions,"$260,018,043"
Phillips,"$340,800,479"
Big Beach,"$232,979,472"
Celador Films,"$449,761,788"
The Fyzz Facility,"$370,863,633"
Ixtlan Productions,"$304,729,398"
Nancy Tenenbaum,"$330,425,040"
Bristol Bay Productions,"$279,552,883"
Envision Entertainment,"$284,423,833"
Intrepid Pictures,"$312,597,609"
Act III Productions,"$164,807,692"
Darkwoods,"$328,007,708"
Mike Zoss,"$305,402,980"
Jon Shestack,"$269,878,674"
Jaffe-Lansing Production,"$326,299,997"
Captivate Entertainment,"$416,168,316"
Film 44,"$462,323,934"
Aversano Films,"$277,044,605"
Radical Studios,"$531,305,247"
Windy Hill Pictures,"$258,764,854"
Crucial Films,"$202,182,981"
Broken Chair Flickz,"$202,182,981"
Searchlight Pictures,"$466,147,940"
Douglas/Reuther,"$288,359,770"
Sneaky Shark,"$335,673,708"
Roadside Attractions,"$268,009,691"
Vinyl Films,"$242,678,062"
Winkler Films,"$276,938,428"
Anarchos Productions,"$374,406,573"
Lee Rich,"$197,776,840"
FPS,"$456,258,539"
Millennium Media,"$318,690,503"
Virtual Studios,"$332,295,923"
Double Nickel Entertainment,"$279,402,799"
Rahway Road,"$319,540,801"
DreamWorks SKG,"$284,313,188"
BFI,"$505,789,867"
Disney Nature,"$333,621,946"
Imposter Pictures,"$513,008,657"
Anabasis Investments,"$300,400,000"
Newman/Tooley,"$267,816,276"
Slap Happy Productions,"$267,816,276"
HanWay Films,"$424,269,731"
DayDay Films,"$467,467,320"
DisneyToon Studios,"$394,459,213"
Pantelion Films,"$299,323,303"
Cameron Mackintosh,"$435,292,452"
Rovio Animation,"$504,543,529"
Roth/Arnold,"$277,847,617"
Woods Entertainment,"$237,136,559"
Principato-Young Entertainment,"$244,894,897"
Gaumont,"$1,073,966,704"
Franchise Pictures,"$195,690,614"
First Light,"$226,362,124"
Irish Film Board,"$371,408,121"
Limelight,"$233,333,123"
A&E Indiefilms,"$357,941,619"
Bold Films,"$286,298,967"
Rysher Entertainment,"$307,962,205"
Hedgehog Films Inc,"$303,309,644"
Denver & Delilah Films,"$273,335,933"
Gravity Pictures,"$621,304,681"
Aegis Film Fund,"$462,563,756"
Clark Spencer,"$245,799,997"
Electric City Entertainment,"$275,405,702"
Maeday Productions,"$527,267,828"
On a Roll Productions,"$527,267,828"
Flagship Entertainment,"$527,267,828"
Hercules Film Fund,"$322,282,824"
Crave Films,"$299,744,842"
Lawrence Mark,"$348,629,585"
Mediastream IV,"$348,629,585"
Fried Films,"$386,805,570"
Molinare,"$447,824,258"
Mediastream Film,"$206,458,372"
Imagine Films,"$144,163,855"
Right of Way Films,"$269,392,766"
Zhong Ming You Ying Film,"$520,189,225"
Oriental DreamWorks,"$520,189,225"
Franklin Entertainment,"$185,597,129"
Huahua Film,"$426,370,829"
Artisan Entertainment,"$250,822,928"
Kendrick Brothers Productions,"$153,187,919"
Silverbell Films,"$417,341,288"
Follow Through Productions,"$205,164,609"
Mandalay Pictures,"$219,741,101"
Haxan Films,"$248,715,398"
Evergreen Pictures,"$319,674,903"
MCEG,"$297,100,000"
Franklin/Waterman,"$298,815,224"
Eagle Pictures,"$300,095,911"
Robert Stigwood,"$282,400,000"
EON Enterprises,"$427,300,260"
Rob Reiner,"$141,966,378"
Bedlam,"$430,230,466"
Free Association,"$236,181,903"
Bazelevs Company,"$299,559,370"
Lava Bear Films,"$262,066,909"
Torridon Films,"$329,275,827"
Zaftig Films,"$382,309,895"
Lynch Siderow Productions Inc,"$164,561,024"
Harpo Films,"$191,556,866"
Star Thrower Entertainment,"$268,931,911"
Independent Pictures.,"$376,000,000"
Oren Peli,"$282,374,670"
Golden Harvest,"$202,000,000"
Minoff,"$202,173,000"
Bungalow 78,"$202,173,000"
Farrell,"$202,173,000"
Screen Australia,"$532,040,079"
Ingenius Film Partners,"$382,288,147"
Kickstart,"$342,422,607"
Dovemead Ltd.,"$300,200,000"
IAC Films,"$209,649,300"
Gran Via,"$203,379,388"
Media Asia Films,"$482,834,149"
A Bigger Boat Productions,"$285,419,983"
DDY,"$514,513,327"
Bron Studios,"$202,458,612"
Gloria Sanchez,"$185,792,029"
David Hoberman,"$164,675,402"
Gregory Jacobs,"$206,924,453"
Constance Marks Productions,"$289,969,461"
Gary Goldman,"$358,824,714"
Blue Tulip,"$358,824,714"
Virgin,"$254,551,628"
France 3 Cinema,"$569,378,337"
Phantom Four,"$268,127,966"
Emjag,"$437,951,155"
Apple Film,"$381,546,055"
Doshudo Productions,"$285,400,000"
Macro Media,"$155,608,625"
EMI Films,"$131,805,659"
Edko Films,"$1,031,168,818"
Dog Eat Dog,"$232,556,451"
Telefilm Canada,"$324,655,873"
Pin High,"$259,512,210"
MBST Entertainment,"$143,501,434"
United China Vision,"$213,966,221"
Asia Union Film and Entertainment LTD,"$213,966,221"
Major Studio Partners,"$261,443,242"
Flashlight Films,"$241,840,318"
Barry Sonnenfeld,"$340,384,141"
David Permut,"$260,885,572"
Campbell Grobman Films,"$262,537,934"
Ruby Films,"$251,727,440"
TF1 International,"$458,255,754"
Jerry Zucker,"$298,923,419"
Predawn,"$298,923,419"
Crystal Sky Pictures,"$251,166,777"
Columbus 81 Productions,"$287,594,577"
Halcyon Company,"$373,693,633"
Hughes Entertainment,"$126,314,163"
Granada Productions,"$207,430,473"
Sogecine,"$272,020,925"
Entertainment/Single Berry,"$149,804,632"
Gravier Productions,"$470,164,614"
Haishang Films,"$619,310,368"
Serendipity Prods,"$279,605,274"
Envision Media,"$209,189,739"
Team Downey,"$327,582,850"
Yellow Bird,"$335,721,180"
WWE Studios,"$180,411,057"
BlindWink,"$245,724,600"
Wagner Productions,"$258,507,584"
Imaginary Forces,"$262,752,750"
Amen Ra Films,"$262,590,853"
View Askew,"$156,363,928"
Paramount Vantage,"$230,540,330"
Lit Entertainment Group,"$342,298,841"
Maximum Effort,"$323,078,841"
Extension 765,"$184,991,844"
FilmColony,"$152,018,005"
Zehnte Babelsberg,"$316,802,281"
Jerry Sherlock,"$200,500,000"
Welle Entertainment,"$199,396,131"
Larger Than Life,"$148,715,342"
Brillstein Entertianment Partners,"$166,072,287"
3dot Productions,"$209,571,146"
Suzanne Todd,"$191,086,728"
Renaissance Films,"$257,749,425"
Catfish,"$187,707,495"
Jim Czarnecki,"$221,148,959"
Astral Media,"$128,628,545"
Nickelodeon Animation,"$180,329,865"
Nikelodeon Movies,"$212,956,024"
Bedford Falls,"$327,858,033"
Stuber-Parent,"$174,009,637"
Cinesite,"$266,827,958"
Turnpike Films,"$224,390,706"
David T. Friendly,"$173,559,438"
RT Features,"$271,179,270"
Salamander Pictures,"$177,025,498"
Pam Williams Productions,"$177,025,498"
Zero Gravity Management,"$199,256,377"
